post_group,year,traffic,fence,eco,agri,water,1km_inner,count,avg_low_temp_springautumn,avg_low_temp_summer,avg_low_temp_winter,avg_temp_springautumn,avg_temp_summer,avg_temp_winter,avg_wind_springautumn,avg_wind_summer,avg_wind_winter,max_snow_springautumn,max_snow_summer,max_snow_winter,month_total_rain_springautumn,month_total_rain_summer,month_total_rain_winter
0,2019,226.91860073999328,1,0,0,0,1,0,10.3,21.1,1.2,14.440000000000001,23.75,5.4,2.32,2.225,2.366666667,0.0,0.0,0.0,103.28,264.225,37.1
0,2020,222.76652298850576,1,0,0,0,1,0,9.86,20.8,1.633333333,13.88,23.425,5.533333333,2.5,2.375,2.466666667,0.0,0.0,0.0,67.18,397.675,70.36666667
0,2021,211.87465277777773,1,0,0,0,1,0,10.68,21.775,0.933333333,14.74,24.5,5.233333333,2.48,2.2,2.7,0.0,0.0,0.0,99.4,302.325,31.26666667
0,2022,260.20245195493703,1,0,0,0,1,0,10.62,21.575,-0.766666667,14.76,24.25,3.333333333,2.22,2.525,2.633333333,0.0,0.0,0.0,74.02,149.9,6.033333333
0,2023,239.05781512605046,1,0,0,0,1,0,10.32,21.925,0.9666666669999999,14.4,24.625,5.233333333,2.52,2.375,2.633333333,0.0,0.0,0.0,91.52,374.8,59.16666667
0,2024,228.67529411764707,1,0,0,0,1,0,11.0,22.7,1.666666667,14.88,25.6,5.566666667,2.02,1.85,2.6,0.0,0.0,0.0,158.1,248.55,50.6
10,2019,226.91860073999328,1,0,0,0,0,0,10.3,21.1,1.2,14.440000000000001,23.75,5.4,2.32,2.225,2.366666667,0.0,0.0,0.0,103.28,264.225,37.1
10,2020,222.76652298850576,1,0,0,0,0,0,9.86,20.8,1.633333333,13.88,23.425,5.533333333,2.5,2.375,2.466666667,0.0,0.0,0.0,67.18,397.675,70.36666667
10,2021,211.87465277777773,1,0,0,0,0,0,10.68,21.775,0.933333333,14.74,24.5,5.233333333,2.48,2.2,2.7,0.0,0.0,0.0,99.4,302.325,31.26666667
10,2022,260.20245195493703,1,0,0,0,0,0,10.62,21.575,-0.766666667,14.76,24.25,3.333333333,2.22,2.525,2.633333333,0.0,0.0,0.0,74.02,149.9,6.033333333
10,2023,239.05781512605046,1,0,0,0,0,0,10.32,21.925,0.9666666669999999,14.4,24.625,5.233333333,2.52,2.375,2.633333333,0.0,0.0,0.0,91.52,374.8,59.16666667
